Sample,Cont_T,Type_L,Cont_1,Type_3,PSU2,PSU3,PSU4,PSU5,PSU8,PSE1,PSE2,PSE3,PSE4,PSE7,RCB2,RCB3,RCB4,RCB5,RCB7,Gene_Code,Age_Code,Education_Code,Duration_Code,Gen_C,Age_C,Edu_C,Dura_C,Trust,Discrm,AI_Kno,AI_Dist,MPSU,MPSE,MRCB,Cont,trace,interact
32,2,1,7,6,4,3,1,3,2,4,5,6,6,5,6,7,5,7,7,女,18-24岁,本科,2小时以上,2,2,3,4,4,7,6,7,2.6,5.2,6.4,1,1,1
33,1,2,1,1,1,7,7,7,7,1,1,2,3,3,1,1,1,1,1,男,18-24岁,本科,30-60分钟,1,2,3,2,6,2,5,3,5.8,2,1,0,0,0
34,1,2,1,1,7,7,7,6,7,4,5,4,4,5,4,3,4,4,5,男,18-24岁,大专,1-2小时,1,2,2,3,5,6,6,4,6.8,4.4,4,0,0,0
35,2,1,6,7,1,3,3,2,1,6,5,7,6,7,7,6,7,7,7,女,18-24岁,高中及以下,30-60分钟,2,2,1,2,5,5,5,6,2,6.2,6.8,1,1,1
36,1,2,2,2,5,6,6,6,6,3,3,4,4,5,7,5,3,7,5,女,18-24岁,本科,2小时以上,2,2,3,4,5,5,5,5,5.8,3.8,5.4,0,0,0
37,2,2,6,1,1,3,2,1,3,1,3,2,6,6,5,7,6,7,6,男,18-24岁,本科,2小时以上,1,2,3,4,6,7,5,6,2,3.6,6.2,1,0,0
38,2,2,6,4,6,4,2,5,4,3,7,6,6,5,4,5,5,3,5,女,18-24岁,本科,1-2小时,2,2,3,3,4,5,5,4,4.2,5.4,4.4,1,0,0
39,2,1,7,7,2,3,2,3,2,5,6,7,6,6,6,7,7,6,7,女,18-24岁,本科,1-2小时,2,2,3,3,5,7,6,6,2.4,6,6.6,1,1,1
40,2,1,5,6,5,2,3,1,3,5,7,6,6,6,5,6,7,6,7,男,18-24岁,本科,2小时以上,1,2,3,4,6,5,7,6,2.8,6,6.2,1,1,1
41,1,1,2,6,2,4,6,5,4,6,6,7,6,6,5,5,6,5,6,女,18-24岁,本科,1-2小时,2,2,3,3,5,6,6,5,4.2,6.2,5.4,0,1,0
42,1,1,2,7,3,3,2,3,2,7,6,7,7,7,6,5,6,6,6,男,18-24岁,本科,2小时以上,1,2,3,4,5,6,6,5,2.6,6.8,5.8,0,1,0
43,1,2,1,3,6,7,6,5,5,4,3,5,5,5,3,4,3,5,5,女,18-24岁,硕士及以上,1-2小时,2,2,4,3,5,6,6,4,5.8,4.4,4,0,0,0
44,1,1,2,3,5,5,4,4,5,4,4,4,6,7,4,4,5,4,6,女,18-24岁,高中及以下,2小时以上,2,2,1,4,5,4,5,5,4.6,5,4.6,0,1,0
45,2,1,7,6,2,4,2,4,2,4,5,6,6,5,5,6,5,6,6,女,18-24岁,本科,30-60分钟,2,2,3,2,4,5,6,5,2.8,5.2,5.6,1,1,1
46,2,2,6,1,7,5,7,6,7,5,7,6,7,5,6,7,5,7,5,男,18-24岁,本科,2小时以上,1,2,3,4,5,6,4,3,6.4,6,6,1,0,0
47,2,1,6,7,1,1,1,2,1,7,6,6,7,5,7,6,7,5,6,女,18-24岁,本科,2小时以上,2,2,3,4,5,6,5,7,1.2,6.2,6.2,1,1,1
48,2,1,7,7,1,2,1,2,1,7,7,7,7,6,7,6,7,6,5,女,18-24岁,大专,2小时以上,2,2,2,4,5,6,5,5,1.4,6.8,6.2,1,1,1
49,2,1,5,7,1,2,1,3,1,6,6,5,6,6,6,7,7,6,6,男,18-24岁,本科,1-2小时,1,2,3,3,5,5,6,6,1.6,5.8,6.4,1,1,1
50,1,2,2,2,6,5,5,5,6,4,4,3,5,5,4,4,5,3,3,女,18-24岁,本科,2小时以上,2,2,3,4,6,5,5,4,5.4,4.2,3.8,0,0,0
51,2,2,7,2,6,7,6,6,6,2,2,2,6,7,6,7,7,7,6,男,18-24岁,本科,1-2小时,1,2,3,3,4,5,5,5,6.2,3.8,6.6,1,0,0
